id_movimiento,fecha,sku,refaccion,categoria,region,cantidad,costo_unitario,costo_total,lead_time_dias,critica,hubo_stockout
MOV-01327,05/01/2025,REF-112,Capacitor de arranque,Electrico,Centro,3.0,248.63,745.89,4,No,False
MOV-00323,08/03/2025,REF-110,Ventilador condensador,Ventilacion,Occidente,2.0,1161.9,2323.8,9,No,False
MOV-00973,23/12/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Norte,3.0,1476.54,4429.62,6,Si,False
MOV-00603,12/03/2025,REF-113,Filtro deshidratador,Filtro,Norte,3.0,159.42,478.26,5,No,False
MOV-01564,29/01/2025,REF-101,Compresor 1/3 HP,Compresor,Norte,3.0,5383.04,16149.12,12,Si,True
MOV-01120,13/03/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Bajio,1.0,1462.7,1462.7,6,Si,False
MOV-01581,26/06/2025,REF-104,Gas refrigerante R-134a,Refrigerante,Sureste,4.0,993.06,3972.24,4,Si,False
MOV-01177,02/06/2025,REF-111,Rele de arranque,Electrico,Norte,1.0,194.98,194.98,3,No,False
MOV-01184,14/02/2025,REF-110,Ventilador condensador,Ventilacion,Bajio,2.0,1060.67,2121.34,9,No,False
MOV-00088,10/04/2025,REF-113,Filtro deshidratador,Filtro,Centro,1.0,163.06,163.06,5,No,False
MOV-01824,09/11/2025,REF-114,Valvula de expansion,Control,Bajio,3.0,1396.0,4188.0,11,No,False
MOV-01536,08/04/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Centro,2.0,1545.96,3091.92,6,Si,False
MOV-01029,08/09/2025,REF-108,Empaque de puerta,Sello, Sureste,1.0,508.91,508.91,7,Si,False
MOV-01681,11/01/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Norte,1.0,1445.03,1445.03,6,Si,True
MOV-01797,25/05/2025,REF-108,Empaque de puerta,Sello,Occidente,2.0,515.2,1030.4,7,Si,False
MOV-00132,26/03/2025,REF-103,Compresor 3/4 HP,Compresor,Centro,3.0,7998.49,23995.47,18,Si,False
MOV-01236,18/11/2025,REF-102,Compresor 1/2 HP,Compresor,Norte,3.0,6100.37,18301.11,14,Si,False
MOV-01201,24/08/2025,REF-117,Sensor de temperatura,Control,Centro,1.0,296.7,296.7,4,No,False
MOV-00579,01/11/2025,REF-101,Compresor 1/3 HP,Compresor,Centro,3.0,4946.46,14839.38,12,Si,False
MOV-00939,14/07/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Bajio,1.0,1415.72,1415.72,6,Si,False
MOV-02050,27/06/2025,REF-108,Empaque de puerta,Sello,Bajio,1.0,531.89,531.89,7,Si,False
MOV-00230,05/05/2025,REF-108,Empaque de puerta,Sello,Bajio,3.0,528.3,1584.9,7,Si,True
MOV-00582,26/10/2025,REF-102,Compresor 1/2 HP,Compresor,Centro,3.0,6018.69,18056.07,14,Si,False
MOV-00294,01/06/2025,REF-104,Gas refrigerante R-134a,Refrigerante,Sureste,3.0,988.52,2965.56,4,Si,False
MOV-01348,06/07/2025,REF-118,Contactor,Electrico,Sureste,2.0,406.09,812.18,5,No,False
MOV-01032,21/08/2025,REF-104,Gas refrigerante R-134a,Refrigerante,Centro,4.0,1057.63,4230.52,4,Si,True
MOV-00731,21/09/2025,REF-101,Compresor 1/3 HP,Compresor,Centro,3.0,5169.86,15509.58,12,Si,False
MOV-00816,23/03/2025,REF-102,Compresor 1/2 HP,Compresor,Centro,1.0,6316.9,6316.9,14,Si,False
MOV-01118,25/02/2025,REF-109,Ventilador evaporador,Ventilacion,Sureste,3.0,880.93,2642.79,8,No,False
MOV-01666,27/12/2025,REF-116,Motor de damper,Ventilacion,Centro,3.0,863.75,2591.25,10,No,True
MOV-01548,04/05/2025,REF-114,Valvula de expansion,Control,Bajio,1.0,1430.89,1430.89,11,No,True
MOV-00928,13/03/2025,REF-111,Rele de arranque,Electrico,Occidente,3.0,194.0,582.0,3,No,False
MOV-01009,26/06/2025,REF-104,Gas refrigerante R-134a,Refrigerante,Bajio,3.0,962.44,2887.32,4,Si,False
MOV-01848,27/08/2025,REF-118,Contactor,Electrico,Bajio,1.0,421.4,421.4,5,No,False
MOV-00035,12/08/2025,REF-114,Valvula de expansion,Control,Centro,3.0,1285.22,3855.66,11,No,False
MOV-00414,11/05/2025,REF-114,Valvula de expansion,Control,Centro,1.0,1482.56,1482.56,11,No,False
MOV-00070,07/04/2025,REF-111,Rele de arranque,Electrico,Bajio,1.0,181.54,181.54,3,No,False
MOV-00952,01/06/2025,REF-107,Termostato mecanico,Control,Centro,3.0,290.3,870.9,3,No,False
MOV-00104,11/04/2025,REF-114,Valvula de expansion,Control,Centro,2.0,1528.16,3056.32,11,No,False
MOV-01164,15/02/2025,REF-101,Compresor 1/3 HP,Compresor,Occidente,2.0,5040.36,10080.72,12,Si,False
MOV-00703,15/07/2025,REF-103,Compresor 3/4 HP,Compresor,Occidente,1.0,9010.09,9010.09,18,Si,False
MOV-01298,08/07/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Centro,2.0,1519.1,3038.2,6,Si,False
MOV-01121,17/07/2025,REF-103,Compresor 3/4 HP,Compresor,Centro,3.0,9038.79,27116.37,18,Si,False
MOV-01456,12/08/2025,REF-107,Termostato mecanico,Control,Bajio,1.0,301.13,301.13,3,No,False
MOV-00113,13/01/2025,REF-112,Capacitor de arranque,Electrico,Norte,3.0,259.57,778.71,4,No,True
MOV-00032,17/12/2025,REF-114,Valvula de expansion,Control,Bajio,3.0,1305.05,3915.15,11,No,False
MOV-00333,20/07/2025,REF-102,Compresor 1/2 HP,Compresor,SURESTE,3.0,6796.39,20389.17,14,Si,True
MOV-00578,15/12/2025,REF-108,Empaque de puerta,Sello,Centro,2.0,502.87,1005.74,7,Si,False
MOV-01841,07/07/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Bajio,3.0,1426.92,4280.76,6,Si,False
MOV-00991,07/10/2025,REF-112,Capacitor de arranque,Electrico,Norte,3.0,257.44,772.32,4,No,False
MOV-02007,09/02/2025,REF-101,Compresor 1/3 HP,Compresor,Centro,3.0,5380.31,16140.93,12,Si,False
MOV-01686,23/05/2025,REF-108,Empaque de puerta,Sello,Bajio,1.0,460.73,460.73,7,Si,False
MOV-01598,29/06/2025,REF-104,Gas refrigerante R-134a,Refrigerante,Bajio,2.0,990.68,1981.36,4,Si,True
MOV-02066,19/01/2025,REF-112,Capacitor de arranque,Electrico,Sureste,3.0,,700.77,4,No,False
MOV-01522,23/06/2025,REF-103,Compresor 3/4 HP,Compresor,Centro,1.0,8775.82,8775.82,18,Si,False
MOV-01415,09/06/2025,REF-108,Empaque de puerta,Sello,Centro,3.0,486.81,1460.43,7,Si,False
MOV-00062,18/11/2025,REF-102,Compresor 1/2 HP,Compresor, Centro,3.0,6314.47,18943.41,14,Si,False
MOV-00750,03/03/2025,REF-103,Compresor 3/4 HP,Compresor,Centro,2.0,8571.22,17142.44,18,Si,True
MOV-01157,08/03/2025,REF-111,Rele de arranque,Electrico,Bajio,1.0,197.32,197.32,3,No,False
MOV-00379,12/08/2025,REF-103,Compresor 3/4 HP,Compresor,Bajio,3.0,8865.22,26595.66,18,Si,False
MOV-01116,31/07/2025,REF-106,Termostato digital,Control,Occidente,3.0,693.52,2080.56,5,No,False
MOV-01323,04/03/2025,REF-113,Filtro deshidratador,Filtro,Centro,3.0,166.8,500.4,5,No,False
MOV-00004,29/09/2025,REF-115,Resistencia de deshielo,Electrico,Centro,2.0,570.64,1141.28,6,No,False
MOV-00627,15/07/2025,REF-110,Ventilador condensador,Ventilacion,Centro,2.0,1041.87,2083.74,9,No,False
MOV-01948,11/02/2025,REF-108,Empaque de puerta,Sello,Occidente,1.0,473.74,473.74,7,Si,False
MOV-00949,24/12/2025,REF-110,Ventilador condensador,Ventilacion,Centro,2.0,1137.65,2275.3,9,No,False
MOV-00806,17/08/2025,REF-101,Compresor 1/3 HP,Compresor,Bajio,3.0,4664.54,13993.62,12,Si,False
MOV-00894,11/03/2025,REF-115,Resistencia de deshielo,Electrico,Norte,3.0,519.8,1559.4,6,No,False
MOV-00704,22/08/2025,REF-108,Empaque de puerta,Sello,Norte,3.0,528.19,1584.57,7,Si,False
MOV-00551,23/08/2025,REF-110,Ventilador condensador,Ventilacion,Occidente,3.0,1055.82,3167.46,9,No,True
MOV-01313,14/06/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Norte,1.0,1537.81,1537.81,6,Si,False
MOV-01072,11/02/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Sureste,3.0,1581.46,4744.38,6,Si,False
MOV-01113,24/11/2025,REF-109,Ventilador evaporador,Ventilacion,Occidente,1.0,962.39,962.39,8,No,False
MOV-01770,17/12/2025,REF-101,Compresor 1/3 HP,Compresor,Centro,3.0,5329.41,15988.23,12,Si,False
MOV-00205,21/06/2025,REF-114,Valvula de expansion,Control,Occidente,2.0,1428.95,2857.9,11,No,False
MOV-01214,15/03/2025,REF-111,Rele de arranque,Electrico,Sureste,1.0,200.44,200.44,3,No,True
MOV-01970,07/09/2025,REF-104,Gas refrigerante R-134a,Refrigerante,Bajio,2.0,1001.87,2003.74,4,Si,False
MOV-01226,22/04/2025,REF-108,Empaque de puerta,Sello,Sureste,3.0,503.56,1510.68,7,Si,False
MOV-00834,09/02/2025,REF-102,Compresor 1/2 HP,Compresor,Occidente,3.0,6663.49,19990.47,14,Si,False
MOV-00981,08/01/2025,REF-104,Gas refrigerante R-134a,Refrigerante,Centro,1.0,1018.03,1018.03,4,Si,False
MOV-01583,07/08/2025,REF-110,Ventilador condensador,Ventilacion,Centro,1.0,1027.08,1027.08,9,No,False
MOV-00563,17/07/2025,REF-101,Compresor 1/3 HP,Compresor,Occidente,3.0,5288.37,15865.11,12,Si,False
MOV-01909,04/04/2025,REF-117,Sensor de temperatura,Control,Bajio,3.0,330.37,991.11,4,No,False
MOV-01483,11/03/2025,REF-116,Motor de damper,Ventilacion,Occidente,1.0,755.31,755.31,10,No,False
MOV-01479,02/08/2025,REF-104,Gas refrigerante R-134a,Refrigerante,Bajio,4.0,927.15,3708.6,4,Si,False
MOV-01494,19/10/2025,REF-109,Ventilador evaporador,Ventilacion,Norte,1.0,898.63,898.63,8,No,False
MOV-01048,03/01/2025,REF-101,Compresor 1/3 HP,Compresor,Centro,3.0,4812.74,14438.22,12,Si,False
MOV-00171,20/12/2025,REF-103,Compresor 3/4 HP,Compresor,Norte,2.0,7971.84,15943.68,18,Si,False
MOV-02037,26/04/2025,REF-113,Filtro deshidratador,Filtro,Norte,3.0,165.49,496.47,5,No,False
MOV-01424,26/02/2025,REF-108,Empaque de puerta,Sello,Occidente,3.0,503.77,1511.31,7,Si,True
MOV-01805,27/08/2025,REF-111,Rele de arranque,Electrico,Norte,3.0,189.87,569.61,3,No,False
MOV-01000,02/05/2025,REF-103,Compresor 3/4 HP,Compresor,Centro,4.0,7793.02,31172.08,18,Si,False
MOV-00775,18/08/2025,REF-118,Contactor,Electrico,Centro,3.0,439.49,1318.47,5,No,False
MOV-01923,10/04/2025,REF-115,Resistencia de deshielo,Electrico,Occidente,3.0,525.5,1576.5,6,No,False
MOV-00491,14/10/2025,REF-116,Motor de damper,Ventilacion,Centro,3.0,829.76,2489.28,10,No,False
MOV-00167,14/10/2025,REF-109,Ventilador evaporador,Ventilacion,Centro,3.0,940.99,2822.97,8,No,True
MOV-01747,06/08/2025,REF-102,Compresor 1/2 HP,Compresor,Norte,3.0,6637.07,19911.21,14,Si,True
MOV-01252,08/01/2025,REF-110,Ventilador condensador,Ventilacion,Bajio,3.0,1142.96,3428.88,9,No,True
MOV-00611,21/03/2025,REF-114,Valvula de expansion,Control,Norte,1.0,1471.48,1471.48,11,No,True
MOV-01594,08/08/2025,REF-115,Resistencia de deshielo,Electrico,Norte,3.0,514.44,1543.32,6,No,False
MOV-00922,16/07/2025,REF-113,Filtro deshidratador,Filtro,Centro,,164.36,328.72,5,No,True
MOV-00476,22/09/2025,REF-113,Filtro deshidratador,Filtro,Bajio,1.0,157.49,157.49,5,No,False
MOV-00212,06/03/2025,REF-117,Sensor de temperatura,Control,Sureste,3.0,348.18,1044.54,4,No,False
MOV-00562,05/12/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Occidente,3.0,1457.59,4372.77,6,Si,False
MOV-00374,23/12/2025,REF-108,Empaque de puerta,Sello,Occidente,2.0,546.4,1092.8,7,Si,False
MOV-00714,06/06/2025,REF-108,Empaque de puerta,Sello,Occidente,3.0,457.16,1371.48,7,Si,False
MOV-00534,27/02/2025,REF-101,Compresor 1/3 HP,Compresor,Norte,3.0,5050.37,15151.11,12,Si,False
MOV-00479,25/08/2025,REF-102,Compresor 1/2 HP,Compresor,Sureste,3.0,6352.16,19056.48,14,Si,False
MOV-01369,23/05/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Centro,2.0,1365.57,2731.14,6,Si,False
MOV-00457,23/03/2025,REF-117,Sensor de temperatura,Control,Centro,1.0,297.49,297.49,4,No,False
MOV-00886,13/12/2025,REF-114,Valvula de expansion,Control,Centro,2.0,1462.21,2924.42,11,No,False
MOV-01802,07/03/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Norte,2.0,1410.4,2820.8,6,Si,False
MOV-00680,10/03/2025,REF-103,Compresor 3/4 HP,Compresor,Centro,3.0,8888.83,26666.49,18,Si,False
MOV-01168,15/09/2025,REF-111,Rele de arranque,Electrico,Sureste,2.0,198.3,396.6,3,No,True
MOV-00375,20/07/2025,REF-103,Compresor 3/4 HP,Compresor,Centro,3.0,8949.96,26849.88,18,Si,False
MOV-01156,02/08/2025,REF-101,Compresor 1/3 HP,Compresor,Sureste,5.0,5412.27,27061.35,12,Si,True
MOV-01580,18/11/2025,REF-108,Empaque de puerta,Sello,Sureste,2.0,546.24,1092.48,7,Si,True
MOV-01267,23/10/2025,REF-114,Valvula de expansion,Control,Centro,1.0,1308.51,1308.51,11,No,False
MOV-00783,13/12/2025,REF-117,Sensor de temperatura,Control,Centro,1.0,301.8,301.8,4,No,False
MOV-01807,25/08/2025,REF-115,Resistencia de deshielo,Electrico,Bajio,1.0,579.03,579.03,6,No,False
MOV-00587,21/10/2025,REF-101,Compresor 1/3 HP,Compresor,Norte,3.0,4763.15,14289.45,12,Si,False
MOV-00401,28/11/2025,REF-106,Termostato digital,Control,Centro,1.0,590.97,590.97,5,No,False
MOV-01472,02/06/2025,REF-117,Sensor de temperatura,Control,Sureste,2.0,312.92,625.84,4,No,False
MOV-01621,13/05/2025,REF-117,Sensor de temperatura,Control,Norte,1.0,318.38,318.38,4,No,True
MOV-00289,05/09/2025,REF-107,Termostato mecanico,Control,Norte,1.0,326.17,326.17,3,No,False
MOV-01217,01/10/2025,REF-109,Ventilador evaporador,Ventilacion,Centro,2.0,972.49,1944.98,8,No,False
MOV-00738,01/11/2025,REF-113,Filtro deshidratador,Filtro,Occidente,,163.92,491.76,5,No,False
MOV-00240,20/03/2025,REF-107,Termostato mecanico,Control,Bajio,3.0,318.62,955.86,3,No,False
MOV-01254,21/07/2025,REF-116,Motor de damper,Ventilacion,Norte,2.0,820.72,1641.44,10,No,False
MOV-00060,04/12/2025,REF-110,Ventilador condensador,Ventilacion,Sureste,2.0,1137.06,2274.12,9,No,False
MOV-00672,08/08/2025,REF-115,Resistencia de deshielo,Electrico,Bajio,2.0,533.16,1066.32,6,No,False
MOV-00876,25/04/2025,REF-103,Compresor 3/4 HP,Compresor,Occidente,1.0,7716.66,7716.66,18,Si,False
MOV-00909,28/01/2025,REF-118,Contactor,Electrico,Norte,2.0,461.3,922.6,5,No,False
MOV-00598,04/01/2025,REF-101,Compresor 1/3 HP,Compresor,Bajio,1.0,5090.22,5090.22,12,Si,False
MOV-00935,16/03/2025,REF-106,Termostato digital,Control,Centro,1.0,712.87,712.87,5,No,False
MOV-01443,21/02/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Occidente,2.0,1360.12,2720.24,6,Si,False
MOV-01035,08/04/2025,REF-104,Gas refrigerante R-134a,Refrigerante,Centro,2.0,951.61,1903.22,4,Si,True
MOV-01402,01/06/2025,REF-102,Compresor 1/2 HP,Compresor,Centro,2.0,6640.7,13281.4,14,Si,False
MOV-01902,28/04/2025,REF-109,Ventilador evaporador,Ventilacion,Bajio,2.0,993.09,1986.18,8,No,False
MOV-02019,29/06/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Sureste,2.0,1407.71,2815.42,6,Si,False
MOV-00916,19/07/2025,REF-116,Motor de damper,Ventilacion,Centro,3.0,856.88,2570.64,10,No,False
MOV-00237,09/08/2025,REF-110,Ventilador condensador,Ventilacion,Norte,,1041.4,3124.2,9,No,False
MOV-01176,05/05/2025,REF-106,Termostato digital,Control,Bajio,1.0,,644.64,5,No,False
MOV-00084,25/09/2025,REF-118,Contactor,Electrico,Bajio,2.0,422.54,845.08,5,No,False
MOV-01294,16/06/2025,REF-102,Compresor 1/2 HP,Compresor,Centro,2.0,6057.49,12114.98,14,Si,False
MOV-02014,10/04/2025,REF-102,Compresor 1/2 HP,Compresor,Centro,2.0,6177.02,12354.04,14,Si,False
MOV-00508,16/08/2025,REF-103,Compresor 3/4 HP,Compresor,Centro,3.0,8403.4,25210.2,18,Si,False
MOV-01651,05/05/2025,REF-107,Termostato mecanico,Control,Norte,2.0,276.76,553.52,3,No,False
MOV-00964,30/06/2025,REF-102,Compresor 1/2 HP,Compresor,Bajio,4.0,6221.28,24885.12,14,Si,False
MOV-00523,25/03/2025,REF-102,Compresor 1/2 HP,Compresor,Norte,1.0,6112.63,6112.63,14,Si,False
MOV-00924,17/03/2025,REF-106,Termostato digital,Control,Centro,2.0,703.76,1407.52,5,No,False
MOV-00199,26/03/2025,REF-102,Compresor 1/2 HP,Compresor,Sureste,2.0,6806.23,13612.46,14,Si,False
MOV-00550,17/05/2025,REF-104,Gas refrigerante R-134a,Refrigerante,Bajio,5.0,1044.05,5220.25,4,Si,False
MOV-01056,16/02/2025,REF-101,Compresor 1/3 HP,Compresor,Bajio,2.0,4590.14,9180.28,12,Si,True
MOV-00857,24/02/2025,REF-107,Termostato mecanico,Control,Sureste,1.0,291.39,291.39,3,No,False
MOV-00394,28/11/2025,REF-115,Resistencia de deshielo,Electrico,Bajio,2.0,546.52,1093.04,6,No,False
MOV-01306,26/01/2025,REF-116,Motor de damper,Ventilacion,Norte,3.0,860.27,2580.81,10,No,False
MOV-00720,03/06/2025,REF-108,Empaque de puerta,Sello,Occidente,2.0,472.54,945.08,7,Si,True
MOV-01951,10/07/2025,REF-108,Empaque de puerta,Sello,Norte,3.0,522.28,1566.84,7,Si,True
MOV-01152,17/11/2025,REF-109,Ventilador evaporador,Ventilacion,Occidente,1.0,859.81,859.81,8,No,False
MOV-00505,28/12/2025,REF-114,Valvula de expansion,Control,Norte,2.0,1474.29,2948.58,11,No,False
MOV-01962,24/04/2025,REF-102,Compresor 1/2 HP,Compresor,Sureste,3.0,6384.91,19154.73,14,Si,False
MOV-01652,22/12/2025,REF-116,Motor de damper,Ventilacion,Occidente,2.0,865.23,1730.46,10,No,False
MOV-01038,31/10/2025,REF-115,Resistencia de deshielo,Electrico,Norte,3.0,602.94,1808.82,6,No,False
MOV-00668,26/03/2025,REF-108,Empaque de puerta,Sello,Norte,3.0,544.71,1634.13,7,Si,False
MOV-01083,14/10/2025,REF-102,Compresor 1/2 HP,Compresor,Bajio,2.0,6503.33,13006.66,14,Si,False
MOV-01667,05/02/2025,REF-109,Ventilador evaporador,Ventilacion,Centro,3.0,1016.36,3049.08,8,No,False
MOV-01560,05/08/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Centro,1.0,1529.69,1529.69,6,Si,False
MOV-00169,02/01/2025,REF-104,Gas refrigerante R-134a,Refrigerante,Sureste,2.0,924.8,1849.6,4,Si,False
MOV-00148,10/01/2025,REF-118,Contactor,Electrico,Occidente,3.0,,1214.16,5,No,False
MOV-00793,08/02/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Norte,1.0,1364.45,1364.45,6,Si,False
MOV-01702,05/11/2025,REF-116,Motor de damper,Ventilacion,Bajio,1.0,816.45,816.45,10,No,False
MOV-00203,11/09/2025,REF-112,Capacitor de arranque,Electrico,Sureste,1.0,273.3,273.3,4,No,False
MOV-01361,25/06/2025,REF-106,Termostato digital,Control,Centro,3.0,607.24,1821.72,5,No,False
MOV-01817,01/03/2025,REF-113,Filtro deshidratador,Filtro,Norte,1.0,155.28,155.28,5,No,False
MOV-01384,02/08/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Norte,2.0,1570.82,3141.64,6,Si,False
MOV-02053,07/03/2025,REF-118,Contactor,Electrico,Centro,3.0,416.88,1250.64,5,No,False
MOV-00026,25/05/2025,REF-108,Empaque de puerta,Sello,Sureste,3.0,497.61,1492.83,7,Si,False
MOV-01719,16/05/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Norte,2.0,1489.27,2978.54,6,Si,False
MOV-01990,17/11/2025,REF-112,Capacitor de arranque,Electrico,Sureste,1.0,239.97,239.97,4,No,False
MOV-00690,12/07/2025,REF-112,Capacitor de arranque,Electrico,Sureste,3.0,230.73,692.19,4,No,False
MOV-01834,14/09/2025,REF-104,Gas refrigerante R-134a,Refrigerante,Bajio,3.0,937.01,2811.03,4,Si,True
MOV-02000,09/02/2025,REF-103,Compresor 3/4 HP,Compresor,Centro,3.0,8443.81,25331.43,18,Si,False
MOV-00161,16/08/2025,REF-104,Gas refrigerante R-134a,Refrigerante,Bajio,5.0,958.17,4790.85,4,Si,False
MOV-00974,03/05/2025,REF-118,Contactor,Electrico,Centro,2.0,456.3,912.6,5,No,False
MOV-00305,29/05/2025,REF-107,Termostato mecanico,Control,Bajio,2.0,327.56,655.12,3,No,False
MOV-02036,21/08/2025,REF-107,Termostato mecanico,Control,Centro,2.0,282.61,565.22,3,No,False
MOV-00141,30/04/2025,REF-106,Termostato digital,Control,Sureste,3.0,634.56,1903.68,5,No,False
MOV-00979,08/11/2025,REF-108,Empaque de puerta,Sello,Occidente,3.0,468.51,1405.53,7,Si,False
MOV-01656,30/12/2025,REF-111,Rele de arranque,Electrico,Bajio,1.0,189.45,189.45,3,No,False
MOV-00265,30/06/2025,REF-108,Empaque de puerta,Sello, Norte,1.0,501.49,501.49,7,Si,False
MOV-01154,22/11/2025,REF-105,Gas refrigerante R-404a,Refrigerante,Bajio,2.0,1339.41,2678.82,6,Si,False
MOV-01349,27/09/2025,REF-112,Capacitor de arranque,Electrico,Centro,2.0,238.64,477.28,4,No,False
MOV-01794,20/01/2025,REF-102,Compresor 1/2 HP,Compresor,Norte,2.0,6689.24,13378.48,14,Si,False
