folio,fecha_apertura,fecha_cierre,cliente,region,tipo_equipo,tipo_servicio,falla_reportada,tecnico_id,requiere_refaccion,horas_respuesta,costo_servicio,reincidencia_30d,estatus
F-202500428,2025-10-21 18:00,2025-10-22 18:12,Cliente 046,Bajio,Congelador horizontal,Correctivo,Puerta / empaque danado,TEC-028,No,24.2,9332.38,No,Cerrado
F-202501073,2025-10-04 11:00,2025-10-05 13:18,Cliente 016,Norte,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-011,No,26.3,843.97,No,Cerrado
F-202500333,2025-04-24 15:00,2025-04-25 06:36,Cliente 022,Occidente,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-036,No,15.6,2539.05,No,Cerrado
F-202500582,2025-11-01 14:00,2025-11-03 05:12,Cliente 016,Bajio,Vitrina refrigerada,Instalacion,Problema electrico,TEC-037,No,39.2,8535.49,No,Cerrado
F-202500205,2025-06-16 08:00,2025-06-17 02:06,Cliente 007,Centro,Congelador horizontal,Correctivo,Problema electrico,TEC-032,No,18.1,6861.33,Si,Cerrado
F-202500731,2025-09-24 15:00,2025-09-25 11:00,Cliente 044,Centro,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-009,No,20.0,1465.21,No,Cerrado
F-202500344,2025-07-07 07:00,2025-07-09 07:48,Cliente 037,Sureste,Congelador horizontal,Correctivo,Acumulacion de hielo,TEC-034,No,48.8,7363.87,No,En proceso
F-202500898,2025-01-20 12:00,2025-01-22 16:24,Cliente 028,Centro,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-011,Si,52.4,,No,Cerrado
F-202500703,2025-03-03 09:00,2025-03-06 00:54,Cliente 035,Occidente,Congelador horizontal,Correctivo,Termostato descalibrado,TEC-010,No,,2966.82,No,Cerrado
F-202501287,2025-11-28 09:00,2025-11-29 00:06,Cliente 018,Centro,Refrigerador vertical,Preventivo,Mantenimiento programado,TEC-007,Si,15.1,5938.75,No,Cerrado
F-202500289,2025-07-17 18:00,2025-07-19 17:54,Cliente 052,NORTE,Refrigerador vertical,Correctivo,Puerta / empaque danado,TEC-014,Si,47.9,13683.38,No,Cerrado
F-202501090,2025-02-21 11:00,2025-02-22 21:30,Cliente 037,Norte,Congelador horizontal,Correctivo,Falla de compresor,TEC-024,Si,34.5,6936.01,No,Cerrado
F-202501165,2025-07-08 12:00,2025-07-09 07:48,Cliente 029,Norte,Refrigerador vertical,Preventivo,Mantenimiento programado,TEC-015,No,19.8,822.24,No,Cerrado
F-202500959,2025-12-21 14:00,2025-12-23 01:00,Cliente 031,Sureste,Maquina de hielo,Correctivo,Acumulacion de hielo,TEC-005,No,35.0,10157.87,No,Cerrado
F-202500930,2025-07-30 08:00,2025-07-31 09:30,Cliente 020,Bajio,Vitrina refrigerada,Instalacion,Puerta / empaque danado,TEC-013,No,25.5,11184.03,No,Cerrado
F-202500161,2025-12-30 10:00,2025-12-31 10:42,Cliente 031,Sureste,Vitrina refrigerada,Correctivo,Puerta / empaque danado,TEC-032,No,24.7,8296.63,No,Cerrado
F-202500269,2025-08-12 13:00,2025-08-15 14:30,Cliente 032,Centro,Vitrina refrigerada,Instalacion,Falla de compresor,TEC-029,Si,73.5,13418.63,No,Cerrado
F-202500613,2025-10-14 08:00,2025-10-15 14:06,Cliente 037,Centro,Refrigerador vertical,Correctivo,Fuga de refrigerante,TEC-022,No,30.1,6129.68,No,Cerrado
F-202500649,2025-12-17 16:00,2025-12-18 18:00,Cliente 038,Centro,Refrigerador vertical,Correctivo,Fuga de refrigerante,TEC-012,No,26.0,7127.87,No,Cerrado
F-202501382,2025-04-14 18:00,2025-04-16 10:42,Cliente 008,Centro,Congelador horizontal,Correctivo,Fuga de refrigerante,TEC-028,No,40.7,13647.46,No,Cerrado
F-202500781,2025-11-17 15:00,2025-11-18 02:24,Cliente 036,Occidente,Vitrina refrigerada,Preventivo,Mantenimiento programado,TEC-025,No,-11.4,1074.68,No,En proceso
F-202501136,2025-01-22 18:00,2025-01-23 08:12,Cliente 003,Norte,Refrigerador vertical,Preventivo,Mantenimiento programado,TEC-018,No,14.2,833.4,No,Cerrado
F-202500005,2025-06-08 09:00,2025-06-09 13:18,Cliente 051,Centro,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-012,No,28.3,1419.54,No,Cerrado
F-202500510,2025-03-28 18:00,2025-03-29 15:18,Cliente 010,Sureste,Congelador horizontal,Correctivo,Problema electrico,TEC-002,No,21.3,3254.01,No,Cerrado
F-202500719,2025-03-28 13:00,2025-04-01 15:12,Cliente 016,Centro,Refrigerador vertical,Instalacion,Problema electrico,TEC-012,No,98.2,,No,Cerrado
F-202501204,2025-10-05 13:00,2025-10-06 10:48,Cliente 032,Occidente,Congelador horizontal,Correctivo,Fuga de refrigerante,TEC-019,No,,5823.91,No,Cerrado
F-202500062,2025-09-29 10:00,2025-09-29 17:48,Cliente 027,Norte,Refrigerador vertical,Preventivo,Mantenimiento programado,TEC-017,No,7.8,2093.14,No,Cerrado
F-202500064,2025-12-20 07:00,2025-12-20 22:42,Cliente 058,Centro,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-007,No,15.7,1789.04,No,Cerrado
F-202500483,2025-04-02 09:00,2025-04-02 21:00,Cliente 012,Bajio,Refrigerador vertical,Preventivo,Mantenimiento programado,TEC-036,No,12.0,900.74,No,Cerrado
F-202500811,2025-01-17 15:00,2025-01-18 14:54,Cliente 054,Sureste,Camara fria,Correctivo,Problema electrico,TEC-006,No,23.9,12834.57,Si,Cerrado
F-202500328,2025-01-14 13:00,2025-01-14 22:24,Cliente 016,Occidente,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-036,No,9.4,1550.7,No,Cerrado
F-202500141,2025-12-25 12:00,2025-12-26 06:18,Cliente 028,Occidente,Maquina de hielo,Correctivo,Falla de compresor,TEC-037,No,18.3,7293.95,No,Cerrado
F-202500636,2025-09-08 17:00,2025-09-10 00:12,Cliente 052,Occidente,Camara fria,Preventivo,Mantenimiento programado,TEC-030,Si,31.2,3877.79,Si,Cerrado
F-202500852,2025-10-20 13:00,2025-10-22 02:24,Cliente 024,Occidente,Congelador horizontal,Correctivo,Puerta / empaque danado,TEC-034,Si,,9695.49,No,Cerrado
F-202500240,2025-08-17 10:00,2025-08-23 07:54,Cliente 042,Norte,Camara fria,Correctivo,Fuga de refrigerante,TEC-004,Si,141.9,15266.64,No,Cerrado
F-202500985,2025-08-03 09:00,2025-08-05 04:48,Cliente 005,Centro,Refrigerador vertical,Correctivo,Problema electrico,TEC-002,Si,43.8,11115.79,No,Cerrado
F-202500689,2025-06-12 10:00,2025-06-13 22:18,Cliente 045,Norte,Congelador horizontal,Correctivo,Fuga de refrigerante,TEC-034,Si,36.3,16708.32,Si,Cerrado
F-202500264,2025-12-04 13:00,2025-12-06 12:54,Cliente 027,Centro,Vitrina refrigerada,Instalacion,Falla de compresor,TEC-034,No,47.9,3154.44,No,Cerrado
F-202500912,2025-03-08 07:00,2025-03-09 04:06,Cliente 005,Centro,Vitrina refrigerada,Correctivo,Problema electrico,TEC-002,No,21.1,6234.98,No,Cerrado
F-202501371,2025-11-18 14:00,2025-11-19 01:24,Cliente 060, Centro ,Maquina de hielo,Correctivo,Termostato descalibrado,TEC-008,No,11.4,12216.58,Si,Cerrado
F-202501227,2025-02-09 18:00,2025-02-13 05:06,Cliente 026,Norte,Camara fria,Instalacion,Fuga de refrigerante,TEC-024,Si,,8445.63,No,En proceso
F-202500100,2025-02-21 17:00,2025-02-22 08:06,Cliente 042,Norte,Refrigerador vertical,Preventivo,Mantenimiento programado,TEC-007,Si,15.1,7549.26,Si,Cerrado
F-202500132,2025-07-22 07:00,2025-07-24 09:00,Cliente 022,Centro,Congelador horizontal,Instalacion,Problema electrico,TEC-027,No,50.0,5699.7,No,Cerrado
F-202501138,2025-05-14 12:00,2025-05-15 03:24,Cliente 039,Bajio,Camara fria,Preventivo,Mantenimiento programado,TEC-014,No,15.4,1951.55,Si,Cerrado
F-202501102,2025-06-21 08:00,2025-06-22 23:42,Cliente 060,Norte,Vitrina refrigerada,Correctivo,Problema electrico,TEC-031,No,39.7,3879.44,No,Cerrado
F-202500710,2025-06-20 10:00,2025-06-21 06:42,Cliente 032,Centro,Refrigerador vertical,Correctivo,Termostato descalibrado,TEC-017,No,20.7,4462.08,No,Cerrado
F-202500459,2025-11-03 13:00,2025-11-06 02:24,Cliente 014,Centro,Camara fria,Correctivo,Falla de compresor,TEC-020,Si,61.4,10265.72,No,Cerrado
F-202500880,2025-08-18 15:00,2025-08-20 01:24,Cliente 020,Norte,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-017,No,1840.3,2327.35,No,Cerrado
F-202500494,2025-08-09 15:00,2025-08-10 11:18,Cliente 003,Centro,Refrigerador vertical,Preventivo,Mantenimiento programado,TEC-036,No,20.3,1361.22,No,Cerrado
F-202500847,2025-02-27 13:00,2025-03-02 15:18,Cliente 005,Centro,Refrigerador vertical,Correctivo,Falla de compresor,TEC-025,Si,74.3,17166.15,Si,Cerrado
F-202500336,2025-10-23 16:00,2025-10-24 17:24,Cliente 045,Occidente,Vitrina refrigerada,Correctivo,Problema electrico,TEC-024,No,25.4,11051.64,No,Cerrado
F-202501355,2025-03-22 18:00,2025-03-23 15:42,Cliente 053,Occidente,Camara fria,Preventivo,Mantenimiento programado,TEC-025,No,21.7,1899.16,No,En proceso
F-202500784,2025-02-14 14:00,2025-02-15 22:24,Cliente 004, Centro ,Vitrina refrigerada,Correctivo,Falla de compresor,TEC-027,Si,32.4,8046.84,No,Cerrado
F-202501247,2025-11-10 13:00,2025-11-11 02:24,Cliente 028,Norte,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-002,No,13.4,847.92,No,Cerrado
F-202500457,2025-02-24 11:00,2025-02-25 10:30,Cliente 001,Centro,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-014,No,23.5,1029.65,No,Cerrado
F-202500785,2025-06-24 14:00,2025-06-27 03:36,Cliente 012,Norte,Vitrina refrigerada,Correctivo,Falla de compresor,TEC-026,Si,61.6,11969.02,No,Cerrado
F-202500425,2025-06-02 16:00,2025-06-03 19:00,Cliente 047,Norte,Congelador horizontal,Correctivo,Problema electrico,TEC-025,No,27.0,8453.99,No,Cerrado
F-202500446,2025-08-30 14:00,2025-09-02 10:24,Cliente 003,Norte,Refrigerador vertical,Instalacion,Falla de compresor,TEC-028,Si,68.4,11370.09,No,Cerrado
F-202500688,2025-08-05 14:00,2025-08-05 22:48,Cliente 021,Bajio,Vitrina refrigerada,Preventivo,Mantenimiento programado,TEC-032,No,8.8,2268.56,Si,Cerrado
F-202500884,2025-02-26 16:00,2025-02-27 20:36,Cliente 022,Norte,Refrigerador vertical,Correctivo,Acumulacion de hielo,TEC-001,No,28.6,7128.67,No,Cerrado
F-202501082,2025-12-28 17:00,2025-12-30 18:48,Cliente 043,Centro,Vitrina refrigerada,Correctivo,Problema electrico,TEC-008,No,49.8,10484.16,No,Cerrado
F-202501383,2025-05-07 16:00,2025-05-09 07:12,Cliente 005,Norte,Camara fria,Correctivo,Puerta / empaque danado,TEC-035,Si,39.2,11689.61,No,Cerrado
F-202500903,2025-03-21 13:00,2025-03-22 21:54,Cliente 027,Bajio,Camara fria,Correctivo,Falla de compresor,TEC-006,Si,,16173.69,No,Cerrado
F-202500801,2025-01-05 11:00,2025-01-07 03:06,Cliente 055,Centro,Refrigerador vertical,Correctivo,Puerta / empaque danado,TEC-020,Si,40.1,18608.28,No,Cerrado
F-202500488,2025-07-13 11:00,2025-07-14 21:00,Cliente 032,Centro,Refrigerador vertical,Correctivo,Termostato descalibrado,TEC-022,No,34.0,8367.55,No,Cerrado
F-202500816,2025-11-02 11:00,2025-11-04 16:24,Cliente 032,Centro,Camara fria,Correctivo,Fuga de refrigerante,TEC-033,Si,53.4,7312.07,No,Cerrado
F-202500270,2025-08-04 15:00,2025-08-06 10:30,Cliente 036,Occidente,Refrigerador vertical,Correctivo,Termostato descalibrado,TEC-006,No,43.5,12045.84,No,Cerrado
F-202501113,2025-03-12 18:00,2025-03-15 08:54,Cliente 048,Centro,Vitrina refrigerada,Correctivo,Falla de compresor,TEC-021,Si,62.9,7277.14,No,Cerrado
F-202501309,2025-06-01 15:00,2025-06-02 08:30,Cliente 026,Centro,Vitrina refrigerada,Preventivo,Mantenimiento programado,TEC-012,No,17.5,2298.68,No,Cerrado
F-202501356,2025-07-01 17:00,2025-07-02 21:48,Cliente 012,Occidente,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-025,No,28.8,2229.87,No,Cerrado
F-202500991,2025-05-06 12:00,2025-05-07 10:00,Cliente 012,Norte,Congelador horizontal,Correctivo,Termostato descalibrado,TEC-028,No,22.0,5254.56,No,Cerrado
F-202500381,2025-01-02 07:00,2025-01-02 18:12,Cliente 022,Centro,Maquina de hielo,Preventivo,Mantenimiento programado,TEC-029,No,11.2,1750.52,No,Cerrado
F-202500671,2025-12-14 09:00,2025-12-16 04:30,Cliente 028,Occidente,Refrigerador vertical,Correctivo,Termostato descalibrado,TEC-009,No,43.5,9916.01,No,cerrado
F-202500842,2025-08-28 14:00,2025-08-29 09:00,Cliente 024,centro,Congelador horizontal,Correctivo,Puerta / empaque danado,TEC-038,No,19.0,7620.57,No,Cerrado
F-202501257,2025-03-23 07:00,2025-03-24 17:24,Cliente 007,Bajio,Refrigerador vertical,Correctivo,Termostato descalibrado,TEC-009,No,34.4,11195.54,No,Cerrado
F-202501286,2025-01-18 12:00,2025-01-19 16:06,Cliente 033,Norte,Maquina de hielo,Preventivo,Mantenimiento programado,TEC-002,No,28.1,2193.19,No,Cerrado
F-202500014,2025-10-05 16:00,2025-10-08 03:30,Cliente 042,Sureste,Congelador horizontal,Correctivo,Termostato descalibrado,TEC-003,No,59.5,7171.55,No,Cerrado
F-202500122,2025-09-01 15:00,2025-09-03 09:54,Cliente 021,Norte,Congelador horizontal,Correctivo,Fuga de refrigerante,TEC-016,No,42.9,7629.19,No,Cerrado
F-202500566,2025-03-28 15:00,2025-03-28 23:06,Cliente 045,Centro,Refrigerador vertical,Correctivo,Falla de compresor,TEC-030,No,8.1,4932.35,No,Cerrado
F-202501133,2025-10-17 18:00,2025-10-21 12:12,Cliente 018,Norte,Refrigerador vertical,Correctivo,Falla de compresor,TEC-025,Si,90.2,10632.38,Si,Cerrado
F-202500647,2025-06-18 12:00,2025-06-19 05:48,Cliente 001,Bajio,Camara fria,Correctivo,Problema electrico,TEC-032,No,17.8,5415.78,No,Cerrado
F-202500555,2025-12-26 18:00,2025-12-30 11:48,Cliente 057,Sureste,Refrigerador vertical,Instalacion,Fuga de refrigerante,TEC-017,Si,89.8,6690.71,No,Cerrado
F-202500151,2025-11-09 10:00,2025-11-11 04:54,Cliente 039,Centro,Congelador horizontal,Correctivo,Falla de compresor,TEC-024,Si,42.9,15577.36,No,Cerrado
F-202500199,2025-05-04 17:00,2025-05-07 19:06,Cliente 033,Occidente,Maquina de hielo,Correctivo,Problema electrico,TEC-023,No,74.1,7432.09,No,Cerrado
F-202500086,2025-09-13 17:00,2025-09-15 06:42,Cliente 053,Centro,Congelador horizontal,Correctivo,Fuga de refrigerante,TEC-030,No,37.7,2816.5,No,Cerrado
F-202501214,2025-11-13 14:00,2025-11-14 22:12,Cliente 045,Occidente,Congelador horizontal,Correctivo,Termostato descalibrado,TEC-016,Si,32.2,7228.81,No,Cerrado
F-202501088,2025-12-28 07:00,2025-12-30 00:12,Cliente 021,Occidente,Vitrina refrigerada,Correctivo,Problema electrico,TEC-025,Si,41.2,14811.5,No,Cerrado
F-202500974,2025-06-23 11:00,2025-06-24 19:42,Cliente 028,Centro,Vitrina refrigerada,Correctivo,Falla de compresor,TEC-019,Si,32.7,13516.7,No,Cerrado
F-202500750,2025-02-27 17:00,2025-02-28 14:54,Cliente 041,Centro,Vitrina refrigerada,Preventivo,Mantenimiento programado,TEC-037,Si,21.9,4369.02,No,Cerrado
F-202500976,2025-03-24 18:00,2025-03-26 14:06,Cliente 044,Centro,Refrigerador vertical,Correctivo,Falla de compresor,TEC-010,Si,44.1,12922.71,Si,En proceso
F-202500874,2025-02-15 12:00,2025-02-16 18:48,Cliente 001,Occidente,Refrigerador vertical,Correctivo,Falla de compresor,TEC-035,Si,30.8,12354.77,No,Cerrado
F-202500627,2025-05-04 14:00,2025-05-07 17:42,Cliente 010,Occidente,Congelador horizontal,Correctivo,Falla de compresor,TEC-021,Si,75.7,10369.58,No,En proceso
F-202500956,2025-08-12 11:00,2025-08-13 16:12,Cliente 033,Occidente,Refrigerador vertical,Correctivo,Termostato descalibrado,TEC-014,No,29.2,5111.1,No,Cerrado
F-202500071,2025-10-18 17:00,2025-10-21 12:54,Cliente 053,SURESTE,Camara fria,Instalacion,Falla de compresor,TEC-016,No,67.9,11665.72,No,Cerrado
F-202500158,2025-07-23 16:00,2025-07-27 02:42,Cliente 018,Bajio,Congelador horizontal,Correctivo,Falla de compresor,TEC-029,Si,82.7,7570.93,No,Cerrado
F-202500329,2025-02-21 12:00,2025-02-23 01:24,Cliente 003,Centro,Camara fria,Correctivo,Fuga de refrigerante,TEC-032,Si,37.4,4741.68,No,Cerrado
F-202500066,2025-04-29 08:00,2025-04-30 22:36,Cliente 031,Norte,Congelador horizontal,Correctivo,Puerta / empaque danado,TEC-016,No,38.6,2951.38,No,cerrado
F-202500382,2025-12-08 11:00,2025-12-08 18:24,Cliente 016,Occidente,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-032,No,,1108.54,No,Cerrado
F-202500248,2025-06-01 14:00,2025-06-05 18:12,Cliente 047,Occidente,Camara fria,Correctivo,Fuga de refrigerante,TEC-034,Si,100.2,10222.03,No,Cerrado
F-202500378,2025-09-30 08:00,2025-10-01 21:30,Cliente 002,Bajio,Refrigerador vertical,Correctivo,Problema electrico,TEC-031,No,37.5,9040.3,No,Cerrado
F-202501095,2025-04-30 12:00,2025-04-30 17:12,Cliente 005,Occidente,Maquina de hielo,Preventivo,Mantenimiento programado,TEC-028,No,5.2,1348.83,No,Cerrado
F-202500950,2025-04-12 13:00,2025-04-15 05:36,Cliente 031,centro,Congelador horizontal,Correctivo,Puerta / empaque danado,TEC-031,Si,-64.6,16648.65,No,Cerrado
F-202500108,2025-08-31 12:00,2025-09-01 19:24,Cliente 026,bajio,Congelador horizontal,Correctivo,Termostato descalibrado,TEC-014,No,31.4,12833.95,Si,Cerrado
F-202500426,2025-03-14 17:00,2025-03-15 08:18,Cliente 011,Centro,Vitrina refrigerada,Preventivo,Mantenimiento programado,TEC-026,No,15.3,1939.84,No,Cerrado
F-202500171,2025-02-08 07:00,2025-02-13 00:00,Cliente 012,Bajio,Refrigerador vertical,Correctivo,Falla de compresor,TEC-032,Si,,8363.95,Si,Cerrado
F-202500351,2025-07-14 18:00,2025-07-15 23:06,Cliente 001,Norte,Congelador horizontal,Correctivo,Problema electrico,TEC-014,No,29.1,11057.35,No,Cerrado
F-202500198,2025-02-13 15:00,2025-02-14 05:06,Cliente 034,Centro,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-033,No,14.1,1549.8,No,Cerrado
F-202500854,2025-03-29 13:00,2025-03-31 13:12,Cliente 003,Norte,Congelador horizontal,Correctivo,Termostato descalibrado,TEC-006,No,48.2,10824.3,No,Cerrado
F-202500713,2025-09-23 17:00,2025-09-24 22:12,Cliente 008,Centro,Maquina de hielo,Correctivo,Puerta / empaque danado,,No,29.2,3996.11,No,Cerrado
F-202500233,2025-01-08 08:00,2025-01-09 02:42,Cliente 006,Norte,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-020,No,18.7,1320.36,No,Cerrado
F-202500911,2025-10-09 10:00,2025-10-13 10:48,Cliente 051,Sureste,Vitrina refrigerada,Correctivo,Falla de compresor,TEC-014,Si,96.8,5322.05,No,Cerrado
F-202501377,2025-12-18 13:00,2025-12-19 03:54,Cliente 005,Norte,Camara fria,Instalacion,Acumulacion de hielo,TEC-011,No,14.9,4107.67,No,Cerrado
F-202501288,2025-03-27 13:00,2025-03-30 23:42,Cliente 036,Norte,Camara fria,Correctivo,Puerta / empaque danado,TEC-031,Si,82.7,16144.55,No,Cerrado
F-202500354,2025-06-08 11:00,2025-06-09 06:48,Cliente 048,OCCIDENTE,Congelador horizontal,Preventivo,Mantenimiento programado,TEC-027,No,19.8,1725.34,No,Cerrado
F-202500887,2025-01-20 17:00,2025-01-21 08:18,Cliente 046,Occidente,Refrigerador vertical,Preventivo,Mantenimiento programado,TEC-032,Si,15.3,6256.46,No,Cerrado
F-202500903,2025-03-21 13:00,2025-03-22 21:54,Cliente 027,Bajio,Camara fria,Correctivo,Falla de compresor,TEC-006,Si,32.9,16173.69,No,Cerrado
F-202500440,2025-05-26 13:00,2025-05-29 17:00,Cliente 019,Norte,Refrigerador vertical,Correctivo,Termostato descalibrado,TEC-016,No,76.0,12324.56,Si,En proceso
F-202500194,2025-05-13 07:00,2025-05-15 00:06,Cliente 048,Bajio,Refrigerador vertical,Preventivo,Mantenimiento programado,TEC-005,Si,41.1,4022.46,No,Cerrado
F-202500603,2025-09-27 11:00,2025-10-02 11:00,Cliente 051,sureste,Refrigerador vertical,Correctivo,Puerta / empaque danado,TEC-021,Si,120.0,11852.72,No,Cerrado
F-202500004,2025-06-10 10:00,2025-06-11 06:30,Cliente 030,Centro,Camara fria,Correctivo,Problema electrico,TEC-003,No,20.5,3224.46,No,Cerrado
F-202501320,2025-05-25 08:00,2025-05-28 22:12,Cliente 055,Norte,Refrigerador vertical,Correctivo,Falla de compresor,TEC-010,Si,86.2,19666.85,No,Cerrado
F-202500601,2025-08-13 17:00,2025-08-18 12:54,Cliente 034,Occidente,Congelador horizontal,Correctivo,Fuga de refrigerante,TEC-008,Si,115.9,9973.6,Si,Cerrado
F-202500747,2025-07-14 09:00,2025-07-15 12:24,Cliente 029,Centro,Refrigerador vertical,Correctivo,Acumulacion de hielo,TEC-019,No,27.4,13162.92,No,Cerrado
F-202500195,2025-12-17 15:00,2025-12-18 15:54,Cliente 028,Occidente,Camara fria,Correctivo,Problema electrico,TEC-023,No,24.9,8969.71,No,Cerrado
F-202500305,2025-07-18 18:00,2025-07-20 04:48,Cliente 056,Bajio,Camara fria,Correctivo,Problema electrico,TEC-012,No,34.8,6656.05,No,Cerrado
F-202500575,2025-01-03 13:00,2025-01-04 22:00,Cliente 002,Centro,Refrigerador vertical,Correctivo,Problema electrico,TEC-019,Si,33.0,8382.65,No,Cerrado
